Company,Price,Change
Company,Price,Change
Microsoft Corporation (MSFT),389.74,389.74
International Business Machines Corporation (IBM),167.37,167.37
General Electric Company (GE),127.68,127.68
Costco Wholesale Corporation (COST),683.53,683.53
McDonald's Corporation (MCD),291.81,291.81
Visa Inc. (V),266.13,266.13
Walmart Inc. (WMT),161.42,161.42
The Walt Disney Company (DIS),91.00,91.00
3M Company (MMM),106.33,106.33
Intel Corporation (INTC),46.01,46.01
American Express Company (AXP),181.02,181.02
Apple Inc. (AAPL),181.75,181.75
The Boeing Company (BA),202.87,202.87
"Cisco Systems, Inc. (CSCO)",49.99,49.99
"The Goldman Sachs Group, Inc. (GS)",376.71,376.71
JPMorgan Chase & Co. (JPM),167.86,167.86
"Salesforce, Inc. (CRM)",268.99,268.99
Verizon Communications Inc. (VZ),38.89,38.89
